借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,动画/奇幻/冒险,日本,2010,8.9,547320人评价,https://movie.douban.com/subject/4202302/
完美的世界,克林特·伊斯特伍德 Clint Eastwood,剧情/犯罪,美国,1993,9.1,311442人评价,https://movie.douban.com/subject/1300992/
无人知晓,是枝裕和 Hirokazu Koreeda,剧情,日本,2004,9.1,315770人评价,https://movie.douban.com/subject/1292337/
消失的爱人,大卫·芬奇 David Fincher,剧情/犯罪/悬疑/惊悚,美国,2014,8.7,923643人评价,https://movie.douban.com/subject/21318488/
倩女幽魂,程小东 Siu-Tung Ching,爱情/奇幻/武侠/古装,中国香港,1987,8.8,730171人评价,https://movie.douban.com/subject/1297447/
寄生虫,奉俊昊 Joon-ho Bong,剧情,韩国,2019,8.8,1355270人评价,https://movie.douban.com/subject/27010768/
时空恋旅人,理查德·柯蒂斯 Richard Curtis,喜剧/爱情/奇幻,英国,2013,8.8,660054人评价,https://movie.douban.com/subject/10577869/
侧耳倾听,近藤喜文 Yoshifumi Kondo,剧情/爱情/动画,日本,1995,8.9,457775人评价,https://movie.douban.com/subject/1297052/
小森林 冬春篇,森淳一 Junichi Mori,剧情,日本,2015,9.0,376431人评价,https://movie.douban.com/subject/25814707/
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,喜剧/剧情/爱情,美国,2004,8.8,563363人评价,https://movie.douban.com/subject/1292274/
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,动画/奇幻/冒险,美国,2010,8.8,748427人评价,https://movie.douban.com/subject/2353023/
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情/犯罪,美国,1990,9.0,369717人评价,https://movie.douban.com/subject/1294240/
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,剧情,瑞典,2015,8.9,474379人评价,https://movie.douban.com/subject/26628357/
未麻的部屋,今敏 Satoshi Kon,动画/奇幻/惊悚,日本,1997,9.1,327619人评价,https://movie.douban.com/subject/1395091/
萤火之森,大森贵弘 Takahiro Omori,剧情/爱情/动画/奇幻,日本,2011,8.9,532473人评价,https://movie.douban.com/subject/5989818/
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,儿童/喜剧/动画/奇幻/冒险,美国,2001,8.8,661836人评价,https://movie.douban.com/subject/1291579/
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,悬疑/奇幻/冒险,英国/美国,2005,8.8,649642人评价,https://movie.douban.com/subject/1309055/
傲慢与偏见,乔·怀特 Joe Wright,剧情/爱情,法国/英国/美国,2005,8.7,790629人评价,https://movie.douban.com/subject/1418200/
玩具总动员3,李·昂克里奇 Lee Unkrich,喜剧/动画/奇幻/冒险,美国,2010,8.9,508999人评价,https://movie.douban.com/subject/1858711/
新世界,朴勋政 Hoon-jung Park,剧情/犯罪,韩国,2013,8.9,427437人评价,https://movie.douban.com/subject/10437779/
釜山行,延尚昊 Sang-ho Yeon,动作/惊悚/灾难,韩国,2016,8.6,1186453人评价,https://movie.douban.com/subject/25986180/
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,喜剧/动画/冒险,美国/法国,2010,8.7,938742人评价,https://movie.douban.com/subject/3287562/
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,剧情/动作/西部/冒险,美国,2012,8.8,602475人评价,https://movie.douban.com/subject/6307447/
玛丽和马克思,亚当·艾略特 Adam Elliot,剧情/喜剧/动画,澳大利亚/美国,2009,9.0,419216人评价,https://movie.douban.com/subject/3072124/
告白,中岛哲也 Tetsuya Nakashima,剧情/悬疑,日本,2010,8.8,666435人评价,https://movie.douban.com/subject/4268598/
大鱼,蒂姆·波顿 Tim Burton,剧情/家庭/奇幻/冒险,美国,2003,8.8,563793人评价,https://movie.douban.com/subject/1291545/
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,冒险/动画/奇幻,中国大陆,1979,9.2,256293人评价,https://movie.douban.com/subject/1307315/
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,喜剧/奇幻/武侠/古装,中国香港,1993,8.7,630470人评价,https://movie.douban.com/subject/1316510/
喜宴,李安 Ang Lee,剧情/喜剧/爱情/同性/家庭,中国台湾/美国,1993,9.0,357743人评价,https://movie.douban.com/subject/1303037/
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,动作/科幻/冒险,美国,2018,8.7,1354964人评价,https://movie.douban.com/subject/4920389/
